&a / 	I1 / %
2,736	0,4
2,733	0,4
2,731	0,4
2,728	0,4
2,725	0,4
2,723	0,4
2,720	0,4
2,717	0,4
2,715	0,4
2,712	0,4
2,709	0,4
2,707	0,4
2,704	0,4
2,701	0,4
2,699	0,4
2,696	0,4
2,693	0,4
2,691	0,4
2,688	0,4
2,685	0,4
2,683	0,4
2,680	0,4
2,677	0,4
2,675	0,4
2,672	0,4
2,669	0,4
2,667	0,4
2,664	0,4
2,661	0,4
2,659	0,4
2,656	0,4
2,653	0,4
2,651	0,4
2,648	0,4
2,645	0,4
2,643	0,4
2,640	0,4
2,637	0,4
2,635	0,4
2,632	0,4
2,629	0,4
2,627	0,4
2,624	0,4
2,621	0,4
2,619	0,4
2,616	0,4
2,613	0,4
2,610	0,4
2,608	0,4
2,605	0,4
2,602	0,4
2,600	0,4
2,597	0,4
2,594	0,4
2,592	0,4
2,589	0,4
2,586	0,4
2,584	0,4
2,581	0,4
2,578	0,4
2,576	0,4
2,573	0,4
2,570	0,4
2,568	0,4
2,565	0,4
2,562	0,4
2,560	0,4
2,557	0,4
2,554	0,4
2,552	0,4
2,549	0,4
2,546	0,4
2,544	0,4
2,541	0,4
2,538	0,4
2,536	0,4
2,533	0,4
2,530	0,4
2,528	0,4
2,525	0,4
2,522	0,4
2,520	0,4
2,517	0,4
2,514	0,4
2,512	0,4
2,509	0,4
2,506	0,4
2,504	0,4
2,501	0,4
2,498	0,4
2,496	0,4
2,493	0,4
2,490	0,4
2,488	0,4
2,485	0,4
2,482	0,4
2,480	0,4
2,477	0,4
2,474	0,4
2,472	0,4
2,469	0,4
2,466	0,4
2,464	0,4
2,461	0,4
2,458	0,4
2,456	0,4
2,453	0,4
2,450	0,4
2,448	0,4
2,445	0,4
2,442	0,4
2,440	0,4
2,437	0,4
2,434	0,4
2,432	0,4
2,429	0,4
2,426	0,4
2,424	0,4
2,421	0,4
2,418	0,4
2,416	0,4
2,413	0,4
2,410	0,4
2,408	0,4
2,405	0,4
2,402	0,4
2,400	0,4
2,397	0,4
2,394	0,4
2,392	0,4
2,389	0,4
2,386	0,4
2,384	0,4
2,381	0,4
2,378	0,4
2,376	0,4
2,373	0,4
2,370	0,4
2,368	0,4
2,365	0,4
2,362	0,4
2,360	0,4
2,357	0,4
2,354	0,4
2,352	0,4
2,349	0,4
2,346	0,4
2,344	0,4
2,341	0,4
2,338	0,4
2,336	0,4
2,333	0,4
2,330	0,4
2,328	0,4
2,325	0,4
2,322	0,4
2,320	0,4
2,317	0,4
2,314	0,4
2,312	0,4
2,309	0,4
2,306	0,4
2,304	0,4
2,301	0,4
2,298	0,4
2,296	0,4
2,293	0,4
2,290	0,4
2,288	0,4
2,285	0,4
2,282	0,4
2,280	0,4
2,277	0,4
2,274	0,4
2,272	0,4
2,269	0,4
2,266	0,4
2,264	0,4
2,261	0,4
2,258	0,4
2,256	0,4
2,253	0,4
2,250	0,4
2,248	0,4
2,245	0,4
2,242	0,4
2,240	0,4
2,237	0,4
2,234	0,4
2,231	0,4
2,229	0,4
2,226	0,4
2,223	0,4
2,221	0,4
2,218	0,4
2,215	0,4
2,213	0,4
2,210	0,4
2,207	0,4
2,205	0,4
2,202	0,4
2,199	0,4
2,197	0,4
2,194	0,4
2,191	0,4
2,189	0,4
2,186	0,4
2,183	0,4
2,181	0,4
2,178	0,4
2,175	0,4
2,173	0,4
2,170	0,4
2,167	0,4
2,165	0,4
2,162	0,4
2,159	0,4
2,157	0,4
2,154	0,4
2,151	0,4
2,149	0,4
2,146	0,4
2,143	0,4
2,141	0,4
2,138	0,4
2,135	0,4
2,133	0,4
2,130	0,4
2,127	0,4
2,125	0,4
2,122	0,4
2,119	0,4
2,117	0,4
2,114	0,4
2,111	0,4
2,109	0,4
2,106	0,4
2,103	0,4
2,101	0,4
2,098	0,4
2,095	0,4
2,093	0,4
2,090	0,4
2,087	0,4
2,085	0,4
2,082	0,4
2,079	0,4
2,077	0,4
2,074	0,4
2,071	0,4
2,069	0,4
2,066	0,4
2,063	0,4
2,061	0,4
2,058	0,4
2,055	0,4
2,053	0,4
2,050	0,4
2,047	0,4
2,045	0,4
2,042	0,4
